t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
t,g,g,g,g,g,g,g,g,g,g,g,w,w,g,g,g,g,c,t
t,w,w,t,t,t,t,t,c,t,t,g,w,w,g,t,t,c,t,t
t,w,w,t,t,h,t,t,t,t,t,g,w,w,g,t,t,t,t,t
t,w,w,g,g,g,g,g,e,c,t,g,g,g,e,t,t,t,t,t
t,w,g,g,t,t,t,t,t,t,t,g,h,t,t,g,g,g,g,t
t,w,g,g,g,g,g,g,g,g,e,g,t,t,t,g,w,w,g,t
t,w,t,t,t,t,t,t,t,t,g,t,t,g,g,g,w,w,g,t
t,w,c,t,t,t,t,t,t,t,g,t,t,g,t,w,w,w,g,t
t,w,e,g,g,g,g,g,g,g,g,w,t,g,t,g,g,g,g,t
t,w,g,w,t,w,t,w,t,w,w,w,t,g,t,g,t,t,t,t
t,w,g,w,c,w,t,w,t,w,w,w,t,g,t,g,t,t,t,t
t,w,g,g,g,g,g,g,g,g,g,g,t,g,t,g,t,t,t,t
t,w,w,t,t,t,t,w,w,w,h,g,t,g,t,g,t,h,t,t
t,w,w,w,t,t,c,e,g,g,g,g,t,g,t,g,g,g,g,t
t,w,w,w,w,t,t,g,t,t,t,t,t,g,t,t,t,g,g,t
t,w,w,w,w,w,h,g,t,t,t,g,g,g,t,c,c,t,g,t
t,w,w,w,w,w,w,g,g,g,g,g,t,e,e,c,h,t,g,t
t,w,w,w,w,w,w,w,w,w,w,w,w,w,w,g,g,g,b,t
t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
"																			",,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,
"					t														",,,,,,,,,,,,,,,,,,,
