t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
t,g,g,g,g,g,g,g,e,c,e,c,h,t,t,t,t,t,t,t
t,g,t,c,t,g,w,w,t,t,t,t,t,t,t,t,h,t,t,t
t,g,t,t,t,g,h,t,t,t,t,t,c,t,g,g,g,g,g,t
t,g,t,g,g,e,g,g,g,g,g,g,g,g,g,w,w,g,w,t
t,w,t,g,t,w,w,w,w,w,w,w,w,w,w,w,w,g,g,t
t,g,t,c,t,t,t,t,t,t,t,w,w,w,w,w,w,g,w,t
t,g,t,t,t,t,t,t,t,t,t,t,c,w,c,w,w,g,g,t
t,g,g,e,g,g,g,g,g,g,g,g,g,g,g,e,w,g,w,t
t,g,t,g,t,t,t,g,t,t,g,t,t,t,t,g,w,g,g,t
t,h,t,g,g,g,w,g,c,t,g,t,t,t,t,g,w,g,w,t
t,w,t,t,w,g,w,g,t,c,g,t,t,t,t,g,g,g,g,t
t,w,t,w,t,g,h,w,w,w,w,t,t,t,t,t,t,t,e,t
t,w,t,t,w,g,e,g,g,g,g,g,g,g,g,g,g,t,c,t
t,w,g,t,t,w,t,g,t,t,t,c,t,t,t,t,g,t,e,t
t,t,g,t,t,t,t,c,t,t,t,t,t,t,t,t,g,t,c,t
t,t,w,t,t,w,w,w,w,t,c,t,w,w,w,t,g,t,e,t
t,t,w,t,t,g,g,g,g,g,g,w,w,h,g,e,g,t,c,t
t,t,w,w,g,g,t,t,t,t,t,b,g,g,g,t,e,h,c,t
t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t

